"12/15/2025","-5.77","*","","SQ *ESPRESSO HOUSE CITY STATE"
"12/14/2025","-25.24","*","","SIGNATURE FOOD CITY STATE"
"12/14/2025","-15.25","*","","MCDONALD'S F1111 CITY STATE"
"12/12/2025","-10.14","*","","TST*PIZZA CITY STATE"
"12/11/2025","-19.26","*","","FOOD MARKET #111 CITY STATE"
"12/11/2025","-7.25","*","","FOOD MARKET #111 CITY STATE"
"12/11/2025","-27.75","*","","SQ *THE FOOD COMPANY"
"12/10/2025","-4.52","*","","FOOD MARKET #111 CITY STATE"
"12/10/2025","-17.04","*","","SQ *FOOD GRILL CITY STATE"
"12/10/2025","-3.89","*","","SQ *ESPRESSO HOUSE URBANA IL"
